sha,filename,url,lines,title,comment,priority,category,additional,id,private
"1b61fbbf184ef4bd730a41ee43eff69d073b4fe8","\API\IBSApplicationExercise1\Controllers\DepartmentAssignmentsController.cs","","11:1-11:1","Add regions","Add regions to your c# files. Use #region <regionName> and #endregion to do this. Typically for a controller you will want \n - init (initialize)\n - get\n - post\n - put\n - delete\n - helper methods\n\nJust be careful regions are a good way to split up a class and make it readable, but if you end up with a large file with a ton of regions you may have a case where you need multiple files.","2","Best Practices","https://www.c-sharpcorner.com/article/using-regions-to-improve-code-readability/","46f04bd5-75ea-4cde-ad7d-ea2e4863b2ed","0"
"387ad2dc2ebf3f9984b41e003a8f0054b15e97a2","\API\IBSApplicationExercise1\Controllers\DepartmentAssignmentsController.cs","","25:19-25:19","Add documentation","Add documentation to your class and methods please. If you type ""///"" above the method it will create a structure like this: \n\n        /// <summary>\n        /// Returns true if assign exists with given empId and deptId\n        /// </summary>\n        /// <param name=""empId""> Unique identifer for an employee</param>\n        /// <param name=""deptId""> Unique identifier for a department</param>\n        /// <returns></returns>\n        // GET: api/Assigns/Check/assignData\n\nIf the parameters are very clear and you dont have a description for them remove the <param> line(s) to keep it looking clean. ","2","Best Practices","","3b4390bb-31a0-4102-b4d2-8db7c737131a","0"
"387ad2dc2ebf3f9984b41e003a8f0054b15e97a2","\API\IBSApplicationExercise1\Controllers\DepartmentAssignmentsController.cs","","29:21-29:21","Will return empty list","Good job on adding some error handling, but if your DB is empty this will return an empty list so you could handle that case as well. ","2","Error Handling","","dbbddd79-2972-4b5c-87b4-93ed14d76b22","0"
"387ad2dc2ebf3f9984b41e003a8f0054b15e97a2","\API\IBSApplicationExercise1\Controllers\DepartmentAssignmentsController.cs","","36:49-36:49","Return types and parameters","We should not use our Db Entities as return types or parameters because that is exposing out database structure to anyone who consumes the service. Instead we should create ""Data Transfer Objects"" or ""DTO""s for those purposes. ","3","Code-Style","","affa6bdf-1c94-43e3-80f0-0ce5592275b1","0"
"387ad2dc2ebf3f9984b41e003a8f0054b15e97a2","\API\IBSApplicationExercise1\Controllers\DepartmentAssignmentsController.cs","","90:106-90:106","use nameof()","Instead of hard-coding a function name here, you can use nameof() to get the string name of a function. Then if the function name changes in a refactor, you don't need to update the code.\n\n","0","Best Practices","","a9534c05-28d3-4710-87e6-512f0f65a90f","0"
"387ad2dc2ebf3f9984b41e003a8f0054b15e97a2","\API\IBSApplicationExercise1\Controllers\DepartmentsController.cs","","95:26-95:26","Good CreatedAtAction","Good use of CreatedAtAction result!\n","0","Best Practices","","c12066e9-2ab9-480f-9ede-05c38fc48490","0"
"387ad2dc2ebf3f9984b41e003a8f0054b15e97a2","\API\IBSApplicationExercise1\Controllers\DepartmentsController.cs","","10:15-10:15","A few endpoints to add","Good work overall, please take the comments from the Assigns controller and apply them here. \nThere are a few endpoints you may want to add \n- get departments with the assign data\n- check if department name is unique\n- check if department abbreviation is unique\n- check if the department has any assigns (you'd call this if someone was trying to delete a department, to confirm the assigns are gone) ","0","Architecture","","4b5cec88-25fe-4670-b4a8-726ea4f40a23","0"
"387ad2dc2ebf3f9984b41e003a8f0054b15e97a2","\API\IBSApplicationExercise1\Controllers\PeopleController.cs","","86:41-86:41","Rename","While devs will know what Post and Put are, it is typically prefered if you put Add and Update instead of Post and Put for your method/function naming.","0","Code-Style","","7dedccfc-53dc-4c49-858e-ba6c849248c9","0"
"387ad2dc2ebf3f9984b41e003a8f0054b15e97a2","\API\IBSApplicationExercise1\Class.cs","","3:13-3:13","Remove empty class","Remove empty class","1","","","5ae3775b-9946-4133-b8ad-d53c013d4bed","0"
"a937bb76d9bdca4447e3769d2953d3658d89a931","\CLIENT\IBSApplicationClient\src\app\department-assignment.service.ts","","1:23-1:23","Add to Services Folder","Should put the services in a services folder. Right now you have shared>services, this could live there. Same with department.service.ts and people.service.ts","0","Best Practices","","a5ed7eef-42e6-4872-b302-401352ee94b8","0"
"a937bb76d9bdca4447e3769d2953d3658d89a931","\CLIENT\IBSApplicationClient\src\app\pages\department\department.component.ts","","22:35-22:35","Remove cosole.logs","Unless you are logging something remove any of the console logs you have for testing. Or update them to ""mock"" logging such as console.log(""Departments Loading"") ... load departments ... console.log(""Departments Loaded""). \nI would say for the sake of time remove them, but recognize the areas where you would want to log this sort of thing. We have a log service that does this on BP, I will show you. ","0","Code-Style","","5143515e-abec-4ccc-893d-eab25251ebf0","0"
"a937bb76d9bdca4447e3769d2953d3658d89a931","\CLIENT\IBSApplicationClient\src\app\pages\department\department.component.ts","","41:48-41:48","Catch Error","If this fails we should have some error handling that shows the user a toast with a message or some indication their action didn't work","0","Error Handling","","d2366df1-a761-4afe-bbd5-2dbd2ab04505","0"
"a937bb76d9bdca4447e3769d2953d3658d89a931","\CLIENT\IBSApplicationClient\src\app\pages\department\department.component.ts","","26:0-26:0","Delete Department","I should be able to delete a department. When I got to delete a department you'll want to add error handling so the user cannont delete departments that have people assigned to it. Best would be returning the list of people that are assigned and making the delete impossible. ","0","","","753427e4-0001-44dc-b4f4-da6a1ac58baf","0"
"a937bb76d9bdca4447e3769d2953d3658d89a931","\CLIENT\IBSApplicationClient\src\app\pages\departmentAssignment\departmentAssignment.component.ts","","50:44-50:44","Casing","Should be onDepartmentAssignmentSaving, not ondepartment.... \nvery minor","1","Code-Style","","dcb5cdfd-fac0-4b86-8e5f-bba82b533660","0"
"a937bb76d9bdca4447e3769d2953d3658d89a931","\API\IBSApplicationExercise1\Models\DepartmentAssignment.cs","","8:45-8:45","Data duplication","For a table like DepartmentAssignement we really only need AssignmentId, DepartmentId and PeopleId (and the audit fields). The rest of the information is already stored in the Department and People tables.","2","Best Practices","","14632993-73a7-4567-b0bb-0e7bcd659e82","0"
"a937bb76d9bdca4447e3769d2953d3658d89a931","\CLIENT\IBSApplicationClient\src\app\pages\departmentAssignment\departmentAssignment.component.ts","","54:0-54:0","Allows duplicates","There is nothing that stops me from adding the same person to a department mulitiple times. There should be some check and a error message of ""This employee is already added to this department"" or something of the sort. You can do this on the save click or with dx validation. ","2","","","365c1dab-cc6a-420c-b44e-3da0308a36a2","0"
"a937bb76d9bdca4447e3769d2953d3658d89a931","\CLIENT\IBSApplicationClient\src\app\pages\departmentAssignment\departmentAssignment.component.ts","","71:0-71:0","Successfull indication","In some spots you are refreshing the data on a save which shows the updates which is great. It is important to signal to the user that their action was successful, you can also sow a success toast or other way to indicate it instead or as well as the refresh. \nAdd    this.toast.success('Sucess','Record Saved');","0","Best Practices","","b7415a17-9965-42e2-b50d-3bcf637cfa93","0"
"a937bb76d9bdca4447e3769d2953d3658d89a931","\CLIENT\IBSApplicationClient\src\app\pages\departmentAssignment\departmentAssignment.component.ts","","42:21-42:21","Documentation","Please add documentation to all of the methods/functions. (not needed for the angular onInit or others)","2","Best Practices","","8764248f-2c54-46f7-89bb-3a969feebe61","0"
"a937bb76d9bdca4447e3769d2953d3658d89a931","\CLIENT\IBSApplicationClient\src\app\department-assignment.service.ts","","1:43-1:43","Details for Folder Structure","This is our typical file structure \n1) components (for re-usable ui components, e.g. custom controls)\n2) pages (which are components that are included in app-routing)\n3) services (for all the service layer)\n4) models (for all of the models and interfaces","1","","","92371854-5b2b-41fc-bc71-1cf14ea8ff29","0"
"a937bb76d9bdca4447e3769d2953d3658d89a931","\CLIENT\IBSApplicationClient\src\app\pages\departmentAssignment\departmentAssignment.component.ts","","10:0-10:0","Add Regjions","You can use //#region in angular to organize your typescript into regions as well. Kevin usually recommends having something like the following\n\n//#region public properties\n\n//#region constructor and ng methods\n\n//#region private methods\n\n//#region event handlers\n\nfor this you would need, event handlers, constructor and ng methods, and public properties. ","0","Best Practices","","f0b860d5-daee-44fb-8f40-7fdc41c55b65","0"
